Mask	Count	Complexity	Length
?d?d?d?d?d?l?l?l?l	225376	2.0	9.0
?u?u?u?u?u?u?u?d?d	225350	2.0	9.0
?l?l?l?l?l?l?s?d?d?d	222016	3.0	10.0
?l?l?l?l?l?d?d?l?l?l	221137	2.0	10.0
?d?d?d?d?d?l?l?l?l?l	220431	2.0	10.0
?u?u?d?d?d?d?d?d	220323	2.0	8.0
?l?l?d?d?l?l?l?l	219563	2.0	8.0
?l?l?l?d?d?d?l?l	219481	2.0	8.0
?l?l?l?l?l?d?l?l?l	218076	2.0	9.0
?l?l?l?l?l?l?d?d?l	217326	2.0	9.0
?l?l?l?l?s?l?l?l	214571	2.0	8.0
?l?l?l?l?l?l?l?d?d?s	214539	3.0	10.0
?l?l?l?s?d?d?d?d	210390	3.0	8.0
?l?l?l?l?l?l?l?l?d?l	208441	2.0	10.0
?u?u?u?u?u?u?u?d	206789	2.0	8.0
?u?u?u?u?u?u?u?u?u?u?u?u	206326	1.0	12.0
?d?d?d?d?u?u?u?u	205924	2.0	8.0
?l?l?l?l?l?l?l?d?l	205150	2.0	9.0
?l?l?l?l?d?d?l?l?l	204754	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d?d	204609	2.0	16.0
?u?u?u?u?u?u?u?u?d	199132	2.0	9.0
?u?l?l?d?d?d?d?d?d	198016	3.0	9.0
?u?u?u?u?u?u?u?u?u?d	195848	2.0	10.0
?l?l?l?l?l?l?l?d?d?l	195812	2.0	10.0
?l?l?l?s?l?l?l?l	194933	2.0	8.0
?l?l?l?l?l?s?d?d?d	192484	3.0	9.0
?u?l?l?l?l?l?l?l?l?d?d?d?d	191760	3.0	13.0
?l?l?l?l?l?l?d?d?l?l	189534	2.0	10.0
?l?l?l?l?l?s?l?l?l	187226	2.0	9.0
?u?u?u?u?u?u?d?d?d	185796	2.0	9.0
?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d	185026	1.0	16.0
?l?l?l?d?d?d?l?l?l	185021	2.0	9.0
?l?d?d?d?d?d?d?d?l	183747	2.0	9.0
?l?l?l?l?l?l?d?d?l?l?l	183284	2.0	11.0
?l?l?l?l?l?l?l?d?l?l	183196	2.0	10.0
?l?d?d?d?d?d?d?d?d?d?d?d	182809	2.0	12.0
?l?l?l?l?l?d?d?s	180891	3.0	8.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?d	179498	2.0	15.0
?l?l?l?l?s?d?d?d	178021	3.0	8.0
?d?d?d?d?l?l?l?l?l?l?l?l	177921	2.0	12.0
?u?l?l?l?l?l?l?l?l?d?d?d	177663	3.0	12.0
?l?d?l?l?l?l?l?l?l?l	177582	2.0	10.0
?u?l?l?l?d?d?d?d?d?d	174638	3.0	10.0
?u?l?l?l?l?l?l?l?l?l?l?d	172665	3.0	12.0
?l?l?l?l?l?s?l?l?l?l?l	172497	2.0	11.0
?d?d?d?d?d?d?d?d?l?l?l?l?l?l	170784	2.0	14.0
?d?l?l?l?l?l?l?l?l?d	170565	2.0	10.0
?l?l?l?l?l?l?l?d?d?d?d?d?d?d	170480	2.0	14.0
?l?l?l?d?l?l?l?l?l	169282	2.0	9.0
